battery,camera,display,no_of_ratings,no_of_reviews,price,product_name,ram,rating
5000 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,16.51 cm (6.5 inch) HD+ Display,477 Ratings , 45 Reviews,"₹16,499","Samsung Galaxy A21s (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4.3
5000 mAh Lithium Polymer Battery,12MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,300 Ratings , 25 Reviews,"₹16,990","OPPO A52 (Twilight Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.4
5000 mAh Lithium-ion Battery,13MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.59 cm (6.53 inch) Display,821 Ratings , 57 Reviews,"₹17,990","Vivo Y50 (Pearl White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.4
5000 mAh Lithium-ion Battery,13MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.59 cm (6.53 inch) Display,821 Ratings , 57 Reviews,"₹17,990","Vivo Y50 (Iris Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.4
4500 mAh Lithium Polymer Battery,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,16.21 cm (6.38 inch) Full HD+ Display,"8,857 Ratings ", 647 Reviews,"₹19,990","Vivo S1 Pro (Dreamy White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.4
5000 mAh Battery,13MP + 2MP | 8MP Front Camera,16.13 cm (6.35 inch) HD+ Display,"2,609 Ratings ", 113 Reviews,"₹11,999","Vivo Y11 (Mineral Blue, 32 GB)",3 GB RAM | 32 GB ROM,4.4
5000 mAh Battery,13MP + 2MP | 8MP Front Camera,16.13 cm (6.35 inch) HD+ Display,"2,609 Ratings ", 113 Reviews,"₹11,999","Vivo Y11 (Agate Red, 32 GB)",3 GB RAM | 32 GB ROM,4.4
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,"1,550 Ratings ", 121 Reviews,"₹11,897","Samsung Galaxy M11 (Violet, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,4.3
5000 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,16.51 cm (6.5 inch) HD+ Display,169 Ratings , 15 Reviews,"₹18,499","Samsung Galaxy A21s (Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4.4
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,"1,046 Ratings ", 72 Reviews,"₹14,416","Samsung Galaxy M11 (Metallic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4.3
4000 mAh Li-ion Polymer Battery,16MP Rear Camera | 16MP Front Camera,15.06 cm (5.93 inch) Full HD+ Display,"1,404 Ratings ", 205 Reviews,"₹10,999","Infinix Note 5 Stylus (Charcoal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,3.9
4000 mAh Li-polymer Battery,48MP + 13MP + 8MP | 20MP Front Camera,16.23 cm (6.39 inch) Full HD+ Display,"58,249 Ratings "," 7,257 Reviews","₹26,999","Redmi K20 Pro (Flame Red, 128 GB)",6 GB RAM | 128 GB ROM,4.5
5000 mAh Li-ion Battery,16MP + 8MP + 2MP | 16MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,"4,022 Ratings ", 263 Reviews,"₹14,990","Vivo Y19 (Magnetic Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.4
5000 mAh Li-ion Battery,16MP + 8MP + 2MP | 16MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,"4,022 Ratings ", 263 Reviews,"₹14,990","Vivo Y19 (Spring White, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.4
1000 mAh Battery,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,"2,230 Ratings ", 259 Reviews,₹639,I Kall K22 New,32 MB RAM | 64 MB ROM,3.6
4030 mAh Lithium-ion Battery,13MP Rear Camera | 5MP Front Camera,15.8 cm (6.22 inch) HD+ Display,"1,312 Ratings ", 57 Reviews,"₹10,799","Vivo Y91i (Fusion Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4.4
1000 mAh Battery,0.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,32 Ratings , 3 Reviews,₹529,Grabo VIDO,64 MB RAM | 64 MB ROM,3.8
4000 mAh Battery,13MP Rear Camera | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,86 Ratings , 9 Reviews,"₹8,985","Panasonic Eluga I8 (Charcoal Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,4
4030 mAh Li-ion Battery,13MP Rear Camera | 5MP Front Camera,15.8 cm (6.22 inch) HD+ Display,"17,346 Ratings "," 1,220 Reviews","₹7,990","Vivo Y91i (Ocean Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4.4
3765 mAh Battery,48MP + 5MP | 16MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,"97,385 Ratings "," 12,729 Reviews","₹17,999","Realme X (Space Blue, 128 GB)",4 GB RAM | 128 GB ROM,4.5
4500 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"2,611 Ratings ", 270 Reviews,"₹27,990","Vivo V19 (Mystic Silver, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,4.4
4500 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"2,611 Ratings ", 270 Reviews,"₹27,990","Vivo V19 (Piano Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,4.4
4500 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"2,611 Ratings ", 270 Reviews,"₹31,990","Vivo V19 (Piano Black, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 512 GB,4.4
4500 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"2,611 Ratings ", 270 Reviews,"₹31,990","Vivo V19 (Mystic Silver, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 512 GB,4.4
4500 mAh Li-polymer Battery,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,"42,821 Ratings "," 3,432 Reviews","₹15,999","Redmi Note 8 Pro (Halo White, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4.5
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,"1,046 Ratings ", 72 Reviews,"₹14,185","Samsung Galaxy M11 (Violet, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4.3
4500 mAh Lithium-ion Battery,48MP + 12MP + 5MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,"7,617 Ratings "," 1,697 Reviews","₹42,999","Samsung Galaxy S10 Lite (Prism White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4.5
4000 mAh Battery,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,"7,346 Ratings ", 678 Reviews,"₹18,990","OPPO F15 (Lightening Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.4
800 mAh Battery,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,"10,618 Ratings "," 1,028 Reviews",₹941,Lava A1,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB,4.1
4440 mAh Li-ion Battery,48MP + 13MP + 13MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"3,837 Ratings ", 739 Reviews,"₹34,990","iQOO 3 (Quantum Silver, 128 GB)",8 GB RAM | 128 GB ROM,4.4
4440 mAh Li-ion Battery,48MP + 13MP + 13MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"3,837 Ratings ", 739 Reviews,"₹37,990","iQOO 3 (Quantum Silver, 256 GB)",8 GB RAM | 256 GB ROM,4.4
