,product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,no_of_ratings,no_of_reviews,price
34,Vivo Y19 (,4,16,5000,128,6.53,4.4,4022,263,14990
35,Vivo Y19 (,4,16,5000,128,6.53,4.4,4022,263,14990
36,I Kall K22,32,0,1000,64,1.8,3.6,2230,259,639
37,Vivo Y91i ,3,13,4030,32,6.22,4.4,1312,57,10799
38,Grabo VIDO,64,0,1000,64,1.8,3.8,32,3,529
39,Panasonic ,3,13,4000,32,6.22,4.0,86,9,8985
40,Vivo Y91i ,2,13,4030,32,6.22,4.4,17346,1220,7990
41,Realme X (,4,48,3765,128,6.53,4.5,97385,12729,17999
42,Vivo V19 (,8,48,4500,128,6.44,4.4,2611,270,27990
43,Vivo V19 (,8,48,4500,128,6.44,4.4,2611,270,27990
44,Vivo V19 (,8,48,4500,256,6.44,4.4,2611,270,31990
45,Vivo V19 (,8,48,4500,256,6.44,4.4,2611,270,31990
46,Redmi Note,6,64,4500,64,6.53,4.5,42821,3432,15999
47,Samsung Ga,4,13,5000,64,6.4,4.3,1046,72,14185
48,Samsung Ga,8,48,4500,128,6.7,4.5,7617,1697,42999
